alto cargo	NCCSO00
al volateo	LOC_ADV
alea iacta est	LOC_ADV
Alfz.	Y
alguna que otra vez	LOC_ADV
algunas veces	LOC_ADV
alguno que otro	LOC_ADV
allende de	LOC_PREP
allá se andan	LOC_ADV
allá se las avenga	LOC_ADV
allá se las componga	LOC_ADV
allá se las haya	LOC_ADV
allá se las hayan	LOC_ADV
allá se van	LOC_ADV
alma mater	NCFS000
Almte.	Y
alter ego	NCMN000
ante diem	LOC_ADV
ante meridiem	LOC_ADV
anterior a	LOC_PREP
antes bien	LOC_ADV
antes pues	LOC_ADV
antes que nada	LOC_ADV
ap.	Y
aparte de	LOC_PREP
apdo.	Y
aprox.	Y
arate cavate	LOC_ADV
ares y mares	LOC_ADV
Arq.	Y
arroz abanda	NCMS000
art déco	AQ0CN0
art deco	AQ0CN0
art decó	AQ0CN0
Art Déco	AQ0CN0
Art Deco	AQ0CN0
Art Decó	AQ0CN0
art nouveau	AQ0CN0
Art Nouveau	AQ0CN0
Art Brut	AQ0CN0
art brut	AQ0CN0
art.	Y
art.º	Y
Arz.	Y
así como también	LOC_ADV
así como tampoco	LOC_ADV
así pues	LOC_ADV
así y todo	LOC_ADV
atta.	Y
atte.	Y
atto.	Y
aurea mediocritas	LOC_ADV
av.	Y
avd.	Y
avda.	Y
ayer noche	LOC_ADV
aún así	LOC_ADV
aún con eso	LOC_ADV
aún cuando	LOC_ADV
B.	Y
b. l. m.	Y
B.º	Y
bajo cuerda	LOC_ADV
bajo el poder de	LOC_PREP
bajo juramento	LOC_ADV
bajo la responsabilidad de	LOC_PREP
bajo llave	LOC_ADV
bajo mano	LOC_ADV
bajo ningún concepto	LOC_ADV
bajo siete llaves	LOC_ADV
Barna.	Y
Bco.	Y
bel canto	NCMS000
belle époque	NCFS000
best seller	NCMN000
Bibl.	Y
bien entendido que	LOC_CS
bien mirado	LOC_ADV
bien que mal	LOC_ADV
bien sabe Dios que	LOC_CS
big band	NCMS000
big bands	NCMP000
Big Bang	NCMS000
big bang	NCMS000
black jack	NCMS000
blue jean	NCMS000
blue jeans	NCMP000
Bma.	Y
Bmo.	Y
Bo.	Y
boca arriba	LOC_ADV
boy scout	NCMS000
boy scouts	NCMP000
break dance	NCMS000
Brig.	Y
Brutus Brutus	NPCNSP0
Bs. As.	Y
Bta.	Y
Bto.	Y
Buenos Aires	NPCSG00
Burkina Faso	NPCSG00
bóbilis bóbilis	LOC_ADV
c.	Y
C. A.	Y
c. c.	Y
C. C.	Y
c. e.	Y
C. F.	Y
c. f. s.	Y
C. I.	Y
C. P.	Y
C. por A.	Y
C.ª	Y
c/	Y
c/c	Y
c/u	Y
cada cosa por su lado	LOC_ADV
cada dos por tres	LOC_ADV
