# This file has list of words that need to be removed in disamibguator.
# These worms are in the dictionary but extremely rare and cause ambiguity for frequent words.
# Anything with conditional logic should go into disambiguation.xml

А-БА-БА-ГА-ЛА-МА-ГА а-ба-ба-га-ла-ма-га noun:inanim:f:v_naz:prop:bad
чесне чеснути verb:perf:futr:s:3
чесну чеснути verb:perf:futr:s:1
чистим чистити verb:imperf:pres:p:1:subst
член-кореспондент член-кореспондент noun:anim:m:v_naz:bad:xp2
Чому Чома noun:inanim:f:v_zna:prop:geo
чорним чорнити verb:imperf:pres:p:1:subst
чорній чорніти verb:imperf:impr:s:2
чорнім чорнити verb:imperf:impr:p:1
чула чулий adj:f:v_.*
шабашу шабашити verb:imperf:pres:s:1
щавлю щавити verb:imperf:pres:s:1
шар шарити verb:imperf:impr:s:2
шарів шаріти verb:imperf:past:m
шлем слати verb:imperf:pres:p:1:subst:xp1
щасливим щасливити verb:imperf:pres:p:1:subst
щирим щирити verb:imperf:pres:p:1:subst
щиру щир noun:inanim:m:.*
яви явити verb:perf:impr:s:2
яскравій яскравіти verb:imperf:impr:s:2
