#English multiwords file used for EnglishHybridDisambiguator
# Use this file only for multi-word terms that have these properties: 1) disambiguation is not necessary. 2) the term has only one part of speech (NOT sotto voce, which is RB and JJ).
# Do not add the term to spelling.txt, because spelling is ignored automatically for each term in this file.
# Terms are case-sensitive, but for each term, POS is added and spelling is ignored for (1) all uppercase text and (2) for text that has a capital letter for the first character of the first word.
All Saints Sisters of the Poor	NNP # www.allsaintssistersofthepoor.org.uk
Anders Breivik	NNP
above all	RB
Above All	RB
after all	RB
After All	RB
all of a sudden	RB
All Of A Sudden	RB
All of a Sudden	RB
all the same	RB
All The Same	RB
All the Same	RB
as a matter of fact	RB
As A Matter Of Fact	RB
As a Matter of Fact	RB
as soon as possible	RB
As Soon As Possible	RB
at any rate	RB
At Any Rate	RB
at the fairground	RB
At The Fairground	RB
At the Fairground	RB
at the moment	RB
At The Moment	RB
At the Moment	RB
before long	RB
Before Long	RB
by far	RB
By Far	RB
by no means	RB
By No Means	RB
by the way	RB
By The Way	RB
By the Way	RB
far and wide	RB
Far And Wide	RB
Far and Wide	RB
in a while	RB
In A While	RB
In a While	RB
just a bit	RB
Just A Bit	RB
Just a Bit	RB
slightly close	RB
Slightly Close	RB
surprisingly well	RB
Surprisingly Well	RB
upside down	RB
Upside Down	RB
Pretty Good Privacy	NNP
ZZ Top	NNP
Isar Aerospace	NNP
Luca de Meo	NNP
S.à r.l.	NNP
Süper Lig	NNP
Pink Floyd	NNP
Harry Houdini	NNP
Kylian Mbappé	NNP
Samuel Adams	NNP
John Hancock	NNP
Kevin McCarthy	NNP
Franka Potente	NNP
Fetty Wap	NNP
Candida albicans	NNP
C. albicans	NNP
Ursus arctos	NNP
San Gimignano	NNP
Martin Luther King	NNP
Allied Oil & Gas	NNP
American Electric Power Service	NNP
Travis Kalanick	NNP
Susan Wojcicki	NNP
Suicide Squad	NNP
Anna Paquin	NNP
Adam Beach	NNP
Christina Applegate	NNP
HTW Berlin	NNP
Hugh Hefner	NNP
Hugh Grant	NNP
Sonic Youth	NNP
Kenny Chesney	NNP
Renée Zellweger	NNP
Patrick Dempsey	NNP
Jim Carrey	NNP
Keanu Reeves	NNP
Bridget Jones	NNP
Leah Remini	NNP
Kevin James	NNP
Jerry Stiller	NNP
Ben Stiller	NNP
Katherine Heigl	NNP
Yoshihide Suga	NNP
Ponte Vecchio	NNP
Fraser Perring	NNP
Giovanni Ferrero	NNP
Abdul Ghani Baradar	NNP
Ghani Baradar	NNP
Sorrentine Peninsula	NNP
Sorrento Peninsula	NNP
Santa Maria del Fiore	NNP
Port Moresby	NNP
Salpointe Catholic High School	NNP
Alvaro Uribe Velez	NNP
Uribe Velez	NNP
Simone Biles	NNP
John Kirby	NNP
Kyoko Kirigiri	NNP
Raksha Bandhan	NNP
Bang Bros	NNP
Liu Xiaobo	NNP
George Lucas	NNP
Indiana Jones	NNP
Hachette Livre	NNP
Harper Collins	NNP
Springer Nature	NNP
Stade de Reims	NNP
Dave Grohl	NNP
Janis Joplin	NNP
Parc du Cinquantenaire	NNP
Hurricane Ida	NNP
New Line Cinema	NNP
Adult Swim	NNP
HBO Max	NNP
Rooster Teeth	NNP
Tiger Global	NNP
Albert Speer	NNP
Rudolf Hess	NNP
Lashkar Gah	NNP
Elizabeth Holmes	NNP
Jolly Jumper	NNP
Warby Parker	NNP
Gene Simmons	NNP
Adobe Creative Cloud	NNP
Lorem ipsum dolor sit amet	UH
New Hampshirite	NNP
New Hampshirites	NNPS
Amy Klobuchar	NNP
Meg Ryan	NNP
Stan Laurel	NNP
Oliver Hardy	NNP
Stan Lee	NNP
Aleksander Čeferin	NNP
Jude Bellingham	NNP
Resident Evil	NNP
Resident Evil Resistance	NNP
Dragon Quest	NNP
Super Smash Bros	NNP
Lennox Lewis	NNP
Galaxy Z Fold	NNP
Kawasaki Daishi	NNP
Osanbashi Pier	NNP
Pall Mall	NNP
Place de la Concorde	NNP
James Webb	NNP
James E. Webb	NNP
Venice Biennale	NNP
Ark Invest	NNP
Cathie Wood	NNP
Irina Shayk	NNP
Hansi Flick	NNP
Howard Webb	NNP
Herbert Diess	NNP
Mini Cooper	NNP
MINI Cooper	NNP
Mini Countryman	NNP
MINI Countryman	NNP
Mini Clubman	NNP
MINI Clubman	NNP
Konica Minolta	NNP
British American Tobacco	NNP
Leona Lewis	NNP
Natasha Bedingfield	NNP
Simon Cowell	NNP
Michael Costello	NNP
Camila Cabello	NNP
Justice League	NNP
Circuit de Spa-Francorchamps	NNP
Sophie Wilmès	NNP
Université Libre de Bruxelles	NNP
Floki Inu	NNP
Heinrich Heine	NNP
Dai Nippon	NNP
Junior Mesa	NNP
Natasha Romanoff	NNP
Lilo & Stitch	NNP
Gravewood High	NNP
Joshua Wong	NNP
Jimmy Lai	NNP
Gravity Heroes	NNP
Quantum Replica	NNP
Apex Legends	NNP
Genshin Impact	NNP
World of Tanks	NNP
Rowan Atkinson	NNP
mai tai	NN
mai tais	NNS
Muay Thai	NNP
Jean Todt	NNP
Fédération Internationale de l'Automobile	NNP
Fédération Internationale de l’Automobile	NNP
Scuderia Ferrari	NNP
Kimi Räikkönen	NNP
Felipe Massa	NNP
Carlos Sainz	NNP
Niki Lauda	NNP
Guy Fréquelin	NNP
Nelly Furtado	NNP
Jean Paul Gaultier	NNP
Dolce & Gabbana	NNP
Alberta Ferretti	NNP
Miu Miu	NNP
LaQuan Smith	NNP
Isabel Marant	NNP
Elsa Hosk	NNP
Michael Kors	NNP
Anders Indset	NNP
Jensen Huang	NNP
choropleth map	NN
choropleth maps	NNS
Humphry Davy	NNP
Owen Wilson	NNP
Tom Hiddleston	NNP
X Factor	NNP
choo choo	UH
Denis Villeneuve	NNP
Roger Penske	NNP
ZX Spectrum	NNP
Jamie Lee Curtis	NNP
Amy Schumer	NNP
Bill Hader	NNP
John Cena	NNP
Will Cathcart	NNP
Pitney Bowes	NNP
Olaudah Equiano	NNP
Bebe Rexha	NNP
AMD Radeon	NNP
ATI Radeon	NNP
MTU Aero Engines	NNP
Stephen Harper	NNP
Paul Martin	NNP
Jean Chrétien	NNP
Pierre Trudeau	NNP
Justin Trudeau	NNP
Scott Morrison	NNP
Malcolm Turnbull	NNP
Chrystia Freeland	NNP
Lawrence MacAulay	NNP
Carolyn Bennett	NNP
Jean-Yves Duclos	NNP
Marc Garneau	NNP
Jim Carr	NNP
Mélanie Joly	NNP
Magister Juris	NNP
Josep Borrell	NNP
Daniel Naber	NNP
Ana de Armas	NNP
Trophée Chopard	NNP
Léa Seydoux	NNP
Lashana Lynch	NNP
Naomie Harris	NNP
Lourdes Faberes	NNP
Django Unchained	NNP
Rafael Nadal	NNP
Andre Agassi	NNP
Billy Idol	NNP
Miloš Zeman	NNP
Miss Moneypenny	NNP
Andrej Babiš	NNP
Rishabh Pant	NNP
KL Rahul	NNP
Shreyas Iyer	NNP
Virat Kohli	NNP
Rohit Sharma	NNP
Gabby Petito	NNP
Air Jordan	NNP
Air Jordans	NNP
Lauryn Hill	NNP
Baggy Green	NNP
Alanis Morissette	NNP
Ford Falcon	NNP
Kid Ink	NNP
Kylie Minogue	NNP
Jason Derulo	NNP
Rick Astley	NNP
Eva Braun	NNP
Giorgio Armani	NNP
Alexander Schallenberg	NNP
Thierry Henry	NNP
BBC iPlayer	NNP
Tyson Fury	NNP
Deontay Wilder	NNP
Kia Sorento	NNP
boric acid	NN:U
Amitabh Bachchan	NNP
Filmfare Awards	NNPS
Teton County	NNP
Teton Range	NNP
Henry Kravis	NNP
Gianluigi Donnarumma	NNP
Squid Game	NNP
Buzz Aldrin	NNP
Neil Armstrong	NNP
Dave Chappelle	NNP
Hakuna matata	UH
Siemens Gamesa	NNP
Sergio García	NNP
Kathy Hochul	NNP
William Shatner	NNP
Silvio Berlusconi	NNP
Kenneth Lay	NNP
Christian Horner	NNP
Gene Haas	NNP
Jonathan Ive	NNP
Stibo DX	NNP
Bruno Le Maire	NNP
John le Carré	NNP
Alexander Zverev	NNP
La Vanguardia	NNP
Allen Ginsberg	NNP
Émile Meyerson	NNP
Lou Bega	NNP
Cinema 4D	NNP
Charles Darwin	NNP
Monica Lewinsky	NNP
Amanda Knox	NNP
Cumbre Vieja	NNP
Johnnie Walker	NNP
Captain Morgan	NNP
Norman Foster	NNP
Scholl siblings	NNPS
Scholl Siblings	NNPS
antinous release	NN
antinous releases	NNS
Mohamed Atta	NNP
Swedish House Mafia	NNP
Christopher Wallace	NNP
Joe Manchin	NNP
Kyrsten Sinema	NNP
Jean Buridan	NNP
Donald Rumsfeld	NNP
Chiwetel Ejiofor	NNP
Hayden Panettiere	NNP
Nicolas Cage	NNP
Jake Gyllenhaal	NNP
Saoirse Ronan	NNP
Barbra Streisand	NNP
Hans Scholl	NNP
Eben Upton	NNP
Rene Russo	NNP
Lily Allen	NNP
Jack Sparrow	NNP
Tsai Ing-wen	NNP
Chengchi University	NNP
Chen Shui-bian	NNP
Mateusz Morawiecki	NNP
Xavier Hernández	NNP
Al Sadd	NNP
Andrés Iniesta	NNP
Marc Benioff	NNP
Katharina von Bora	NNP
Aer Lingus	NNP
Kevin Keegan	NNP
Alan Shearer	NNP
Samuel Paty	NNP
Sanna Marin	NNP
Kelly Family	NNP
Pixel 6 Pro	NNP
Pixel 6	NNP
Satoshi Nakamoto	NNP
António Guterres	NNP
Mate Rimac	NNP
Jessica Simpson	NNP
Mia Khalifa	NNP
James Arthur	NNP
Microsoft Ignite	NNP
MS Ignite	NNP
Eric Adams	NNP
Glenn Youngkin	NNP
Terry McAuliffe	NNP
Ready Player One	NNP
Steve Buscemi	NNP
Lil Nas X	NNP
Charlie Puth	NNP
Jack Daniels	NNP
Pegasus Airlines	NNP
Engel & Völkers	NNP
Corrado Gini	NNP
Oliver Zipse	NNP
Pikmin Bloom	NNP
Leni Klum	NNP
Frances Haugen	NNP
Guy Fawkes	NNP
Paul Sandby	NNP
Noah Harari	NNP
Yuval Noah Harari	NNP
Abraham Maslow	NNP
Tetra Pak	NNP
Tenet Healthcare	NNP
Blizzard Entertainment	NNP
Cobequid Bay	NNP
Knight Rider	NNP
Piers Morgan	NNP
Neil Diamond	NNP
Gumball 3000	NNP
Agatha Christie	NNP
Patrick Moraz	NNP
Max Schmeling	NNP
Joe Frazier	NNP
David Hasselhoff	NNP
George Michael	NNP
George Foreman	NNP
Jacques Villeneuve	NNP
Prime Time Entertainment Network	NNP
Steven Gerrard	NNP
Aston Villa	NNP
holy moly	UH
holy moley	UH
Speedy Gonzales	NNP
Eric Clapton	NNP
Hermann Göring	NNP
Harry Macklowe	NNP
Alberto Giacometti	NNP
Mark Rothko	NNP
Jackson Pollock	NNP
Piet Mondrian	NNP
Cy Twombly	NNP
Tom Ellis	NNP
Rudolf Steiner	NNP
Jiddu Krishnamurti	NNP
Tech N9ne	NNP
Young Dolph	NNP
Ars Electronica	NNP
Uri Geller	NNP
Peng Shuai	NNP
Shane Carwin	NNP
Nyan Cat	NNP
Hailey Bieber	NNP
Volvo XC40	NNP
Volvo XC60	NNP
Volvo XC90	NNP
Google Doodle	NNP
vs.	CC
Denis Diderot	NNP
Opera GX	NNP
Athletic Bilbao	NNP
Chevy Chase	NNP
Lauren Boebert	NNP
Ilhan Omar	NNP
Bernie Ecclestone	NNP
Ayrton Senna	NNP
David Blaine	NNP
Woodrow Wilson	NNP
John Grier Hibben	NNP
John Hibben	NNP
Arthur Eichengrün	NNP
Jonas Salk	NNP
Giuseppe Mercalli	NNP
Oliver Bäte	NNP
Rockstar Games	NNP
Flinders Petrie	NNP
James Quibell	NNP
Alan Gardiner	NNP
Edward Sapir	NNP
Ferdinand de Saussure	NNP
Paul Grice	NNP
Roman Jakobson	NNP
Eve Clark	NNP
Parag Khanna	NNP
Parag Agrawal	NNP
George Weah	NNP
Jean Todt	NNP
Damon Hill	NNP
Ridley Scott	NNP
Citizen Kane	NNP
Michael Corleone	NNP
Giannina Facio	NNP
Limp Bizkit	NNP
Papa Roach	NNP
Sharm el-Sheikh	NNP
Karl Nehammer	NNP
Ricky Gervais	NNP
Nayib Bukele	NNP
Mohamed Salah	NNP
Mo Salah	NNP
Victoria Beckham	NNP
David Beckham	NNP
Al Bayt Stadium	NNP
Al Khor	NNP
Tamim bin Hamad Al Thani	NNP
Al-Janoub Stadium	NNP
Al Janoub Stadium	NNP
Ahmed bin Ali Stadium	NNP
Al Thumama	NNP
Al Thumama Stadium	NNP
Ed Hardy	NNP
Euro NCAP	NNP
Annie Leibovitz	NNP
Toto Wolff	NNP
Éric Zemmour	NNP
Galaxy Z	NNP
Apache Log4j	NNP
Ciro Immobile	NNP
Toyota Yaris Hybrid	NNP
Angelika Gifford	NNP
Eddie Irvine	NNP
David Coulthard	NNP
Fernando Alonso	NNP
Sebastian Vettel	NNP
Valtteri Bottas	NNP
Charles Leclerc	NNP
Sergio Pérez	NNP
Carlos Sainz	NNP
Nico Rosberg	NNP
Mick Schumacher	NNP
Oscar Wilde	NNP
Arnold Schwarzenegger	NNP
Dan Aykroyd	NNP
Fort Liberte	NNP
Les Cayes	NNP
Dietrich Mateschitz	NNP
Charles Chaplin	NNP
José Carreras	NNP
Steph Curry	NNP
Stephen Curry	NNP
Loma Linda	NNP
Kevin Durant	NNP
James Harden	NNP
Giannis Antetokounmpo	NNP
Russell Westbrook	NNP
Kyrie Irving	NNP
Kawhi Leonard	NNP
Damian Lillard	NNP
Magic Johnson	NNP
Luka Dončić	NNP
Nikola Jokić	NNP
Jennifer Garner	NNP
Ralf Rangnick	NNP
Isla Holbox	NNP
Battle of Sepeia	NNP
UEFA Nations League	NNP
Alexander McQueen	NNP
Bradley Cooper	NNP
Adobe Captivate	NNP
Comedy Central	NNP
Rocco Siffredi	NNP
Gérard Depardieu	NNP
Christian Clavier	NNP
Özlem Türeci	NNP
Riviera Maya	NNP
Uğur Şahin	NNP
Dominic Raab	NNP
Gabriel Boric	NNP
José Antonio Kast	NNP
José Kast	NNP
Tobey Maguire	NNP
Bill Maher	NNP
AirPods Max	NNP
Jean-Baptiste Accolay	NNP
herpes zoster	NN:U
Emma Raducanu	NNP
Emil von Behring	NNP
Niklas Östberg	NNP
Matrix Resurrections	NNP
Lana Wachowski	NNP
Carrie-Anne Moss	NNP
Jada Pinkett Smith	NNP
Matrix Revolutions	NNP
Christina Ricci	NNP
Jake Paul	NNP
Tyron Woodley	NNP
Fedora Linux	NNP
Lothar Wieler	NNP
Justus von Liebig	NNP
Friedrich Wöhler	NNP
Brigitte Macron	NNP
Louis de Funès	NNP
Santiago Bernabéu	NNP
Julián Castro	NNP
Andreas Gabalier	NNP
Melinda Gates	NNP
Fitbit Sense	NNP
Jean Asselborn	NNP
Dan Bilzerian	NNP
Abt system	NN
Abt systems	NNS
Brent Crude	NNP
Brett Favre	NNP
Aaron Rodgers	NNP
Peyton Manning	NNP
Green Bay Packers	NNPS
Cleveland Browns	NNPS
Tampa Bay Buccaneers	NNPS
Villeroy & Boch	NNP
Marie Juchacz	NNP
Louise Schroeder	NNP
Ahmad Mansour	NNP
Otto Suhr	NNP
Desmond Tutu	NNP
Jacob Zuma	NNP
Graça Machel	NNP
Thabo Mbeki	NNP
Tom Holland	NNP
Kirsten Dunst	NNP
Pepto Bismol	NNP
Steve Nash	NNP
Bob Cousy	NNP
Kobe Bryant	NNP
Bob Pettit	NNP
Noah Gordon	NNP
Renault Mégane	NNP
Renault Megane	NNP
McLaren F1	NNP
Porsche 911	NNP
Mazda MX5	NNP
Glass Animals	NNP
Fisker Ocean	NNP
Andrzej Duda	NNP
Renault Scénic	NNP
Renault Grand Scénic	NNP
Dandy Warhols	NNPS
François Hollande	NNP
François Fillon	NNP
François Mitterrand	NNP
Nicole Appleton	NNP
Liam Gallagher	NNP
Noel Gallagher	NNP
Sunset Boulevard	NNP
Sunset Strip	NNP
Aaron Swartz	NNP
van Gerwen	NNP
Michael van Gerwen	NNP
Simon Wiesenthal	NNP
Adam Driver	NNP
Ashley Graham	NNP
Madden NFL	NNP
John Madden	NNP
EA Tiburon	NNP
Betty White	NNP
Marco Tozzi	NNP
Eli Manning	NNP
Neumayer Station	NNP
Georg von Neumayer	NNP
Henry Cavill	NNP
Herod the Great	NNP
Patton Oswalt	NNP
Ronan Keating	NNP
Mark Zuckerber	NNP
Marc Andreessen	NNP
Diffie–Hellman	NNP
Marty McFly	NNP
Paul Löbe	NNP
Friedrich Ebert	NNP
jack o'lantern	NN
jack o’lantern	NN
jack o'lanterns	NNS
jack o’lanterns	NNS
Jack O'Lantern	NN
Jack O’Lantern	NN
jack o'lanterns	NNS
jack o’lanterns	NNS
Jack O'Lanterns	NNS
Jack O’Lanterns	NNS
Merrick Garland	NNP
Deus Ex	NNP
Deus Ex Go	NNP
Paul Atreides	NNP
Benjamin Button	NNP
Eugene Goodman	NNP
Nigel Farage	NNP
Elizabeth Truss	NNP
Liz Truss	NNP
Hrithik Roshan	NNP
Liz Hurley	NNP
Nelson Mandela	NNP
Lyndon B. Johnson	NNP
Republika Srpska	NNP
David Sassoli	NNP
Antonio Tajani	NNP
Mark Zuckerberg	NNP
John Malkovich	NNP
ITV News	NNP
ITV Weekend News	NNP
Chrome Web Store	NNP
Ann Arbor	NNP
Myanmar National Airlines	NNP
Jim Farley	NNP
MSCI Emerging Markets	NNP
MSCI ACWI	NNP
Hikaru Utada	NNP
Porfirio Díaz	NNP
Parras de la Fuente	NNP
Bone Thugs-N-Harmony	NNP
Wu-Tang Clan	NNP
Three 6 Mafia	NNP
Paige VanZant	NNP
Leroy Merlin	NNP
Martin Bormann	NNP
Sergey Lavrov	NNP
James Cleverly	NNP
Jean-Yves Le Drian	NNP
Trinity College	NNP
Walter Gropius	NNP
Marcel Breuer	NNP
Gardasil 9	NNP
Peggy Sue	NNP
Meat Loaf	NNP
Banach–Tarski	NNP
L'Équipe	NNP
L’Équipe	NNP
Robin Thick	NNP
Need for Speed Underground	NNP
Number One Observatory Circle	NNP
LittleBigPlanet	NNP
LittleBIGPlanet	NNP
Little BIG Planet	NNP
Little Big Planet	NNP
Carl von Ossietzky	NNP
Carl von Clausewitz	NNP
dos Santos	NNP
Sergio Mattarella	NNP
Matteo Renzi	NNP
Ronda Rousey	NNP
Gina Raimondo	NNP
Lindsay Lohan	NNP
Ron DeSantis	NNP
Cincinnati Bengals	NNPS
Greg Abbott	NNP
Gustave Le Bon	NNP
Gustave Eiffel	NNP
Centrale des Arts	NNP
Arsène Wenger	NNP
Alex Ferguson	NNP
Sean McVay	NNP
Zac Taylor	NNP
SoFi Stadium	NNP
Taylor Rapp	NNP
Jalen Ramsey	NNP
Cam Akers	NNP
Tyler Higbee	NNP
Cooper Kupp	NNP
Eric Weddle	NNP
Matt Gay	NNP
Ja'Marr Chase	NNP
Ja’Marr Chase	NNP
Joe Mixon	NNP
Evan McPherson	NNP
Tyler Boyd	NNP
Jared Goff	NNP
Matthew Stafford	NNP
Joe Burrow	NNP
Sienna Miller	NNP
Kendrick Lamar	NNP
Kalmius River	NNP
Dizzy Gillespie	NNP
Royal Caribbean Cruises	NNP
Royal Caribbean Group	NNP
René Benko	NNP
Peter Benchley	NNP
Cayman Brac	NNP
Ferdinand Porsche	NNP
Charlie Munger	NNP
iRobot Roomba	NNP
Keir Starmer	NNP
Miss Piggy	NNP
Ned Flanders	NNP
Digital Turbine	NNP
MGM Resorts	NNP
Supercar Blondie	NNP
Wye River	NNP
Taba Summit	NNP
Peres Center for Peace	NNP
Shimon Peres	NNP
Wolfgang Ischinger	NNP
Panera Bread	NNP
Dnieper River	NNP
Natasha Bassett	NNP
Union Pacific	NNP
Union Pacific Railroad	NNP
Nord Stream	NNP
Simply Red	NNP
Venice Beach	NNP
Boardwalk Empire	NNP
Humpty Dumpty	NNP
Humpty Dumpties	NNPS
Henri Nannen	NNP
Dmytro Kuleba	NNP
Village People	NNP
Recep Tayyip Erdoğan	NNP
Recep Erdoğan	NNP
Fethullah Gülen	NNP
Gülen Movement	NNP
Edvard Munch	NNP
Wassily Kandinsky	NNP
DK Metcalf	NNP
Dikembe Mutombo	NNP
Kernmantle rope	NN
Kernmantle ropes	NNS
Maidan Nezalezhnosti	NNP
Jimmy Kimmel	NNP
Jimmy Fallon	NNP
Stephen Colbert	NNP
Seth Meyers	NNP
David Letterman	NNP
Conan O'Brien	NNP
Conan O’Brien	NNP
Wintershall Dea	NNP
App Tracking Transparency	NNP
La Stampa	NNP
Uncle Kracker	NNP
Novi Sad	NNP
Banja Luka	NNP
Red Ruthenia	NNP
Timothy Snyder	NNP
Real Sociedad	NNP
Butch Cassidy	NNP
Billy the Kid	NNP
Sundance Kid	NNP
Jesse James	NNP
Nuestra Señora	NNP
Sauli Niinistö	NNP
Krav Maga	NNP
Tel Nof	NNP
Mitsubishi Motors	NNP
Roman Abramovich	NNP
Priscilla Presley	NNP
Jean Ribault	NNP
Rod Serling	NNP
Sergey Shoygu	NNP
Trevor Noah	NNP
Dardanelles Strait	NNP
Babi Yar	NNP
Babin Yar	NNP
Babyn Yar	NNP
Svobody Square	NNP
Nord Stream	NNP
Vitalik Buterin	NNP
Hannibal Lecter	NNP
Kevin Costner	NNP
Zoë Kravitz	NNP
Elden Ring	NNP
Paco Rabanne	NNP
Fidelity Investments	NNP
Thiago Alcântara	NNP
Anna Netrebko	NNP
lo mein	NN:U
Laura Ingraham	NNP
Oleg Deripaska	NNP
Lakhta Center	NNP
Lakhta Centre	NNP
Gazprom Neft	NNP
Ramzan Kadyrov	NNP
Akhmad Kadyrov	NNP
Jeffrey Epstein	NNP
Jeff Epstein	NNP
Murasaki Shikibu	NNP
Kaja Kallas	NNP
Ingrida Šimonytė	NNP
Arturs Krišjānis Kariņš	NNP
Arturs Kariņš	NNP
Matteo Salvini	NNP
Chris Coons	NNP
John Bolton	NNP
Katie Price	NNP
Waldorf Astoria	NNP
Jeremy Renner	NNP
von Clausewitz	NNP
von Ossietzky	NNP
Cyndi Lauper	NNP
Michael Kohlhaas	NNP
Robin Thicke	NNP
Bored Ape Yacht Club	NNP
Clive Myrie	NNP
Mac Studio	NNP
Matt Reeves	NNP
Apache NiFi	NNP
Pokémon Go	NNP
Wolfram Alpha	NNP
M1 Ultra	NNP
M1 Max	NNP
M1 Pro	NNP
Dyson Airblade	NNP
Dyson Airwrap	NNP
Gaspar Noé	NNP
Yoon Seok-youl	NNP
Christopher Walken	NNP
Power BI	NNP
Galaxy Z Flip	NNP
Super Smash Bros.	NNP
Age of Empires	NNP
Barnes & Noble	NNP
Barnes and Noble	NNP
John McWhorter	NNP
Rishi Sunak	NNP
SBB Cargo	NNP
SBB Cargo International	NNP
Billy Bob Thornton	NNP
Melanie Thornton	NNP
Nasdaq Composite	NNP
NASDAQ Composite	NNP
party pooper	NN
party poopers	NN
Mario Draghi	NNP
Adobe InCopy	NNP
Novo Nordisk	NNP
Danske Bank	NNP
Maersk Group	NNP
Jyske Bank	NNP
Yvan Colonna	NNP
Benedict Cumberbatch	NNP
Eduard Heger	NNP
Zuzana Čaputová	NNP
Borut Pahor	NNP
Janez Janša	NNP
Petr Fiala	NNP
Susanne Klatten	NNP
Stefan Quandt	NNP
Mevlüt Çavuşoğlu	NNP
Real Betis Balompié	NNP
Real Betis	NNP
Primera División	NNP
Karim Khan	NNP
Memphis Depay	NNP
Francis Ford Coppola	NNP
Ford Coppola	NNP
cha cha	UH
cha cha cha	UH
Ted Lieu	NNP
Signa Holding	NNP
Khaby Lame	NNP
Khabane Lame	NNP
Fresenius Medical Care	NNP
Anatoly Chubais	NNP
Boris Yeltsin	NNP
Clarence Thomas	NNP
Clarence Seedorf	NNP
Ketanji Brown Jackson	NNP
Brown Jackson	NNP
George Russell	NNP
Lando Norris	NNP
Rubrik's cube	NNP
Rubrik’s cube	NNP
Rubrik's cubes	NNPS
Rubrik’s cubes	NNPS
Raiffeisen Bank	NNP
Marie-Philip Poulin	NNP
Ebenezer Scrooge	NNP
Jan Bytnar	NNP
Chloé Zhao	NNP
Zoe Wees	NNP
Chloe Ting	NNP
Zoe Saldaña	NNP
Simon Pegg	NNP
Vanessa Kirby	NNP
Ving Rhames	NNP
Wolf Blitzer	NNP
Michelle Monaghan	NNP
Robert Habeck	NNP
Dom Pérignon	NNP
Luigi Di Maio	NNP
Jeffrey Sachs	NNP
Jamie Dimon	NNP
Boston Consulting Group	NNP
Banque Internationale à Luxembourg	NNP
Universal Ibogaine	NNP
Axie Infinity	NNP
bromophenol blue	NN:U
Straits Times	NNP
Advent International	NNP
Paul Rudd	NNP
Jean-Luc Mélenchon	NNP
BMW Isetta	NNP
Juventus Stadium	NNP
BSE SENSEX	NNP
BSE Sensex	NNP
Vincent van Gogh	NNP
Mike Huckabee	NNP
Antoni Gaudí	NNP
World Squash Federation	NNP
Madame Tussaud	NNP
Jane Goodall	NNP
Amazon Logistics	NNP
Newt Gingrich	NNP
Ben Sasse	NNP
Lael Brainard	NNP
Hyundai Ioniq	NNP
Filip Kostić	NNP
Jordi Alba	NNP
Ousmane Dembélé	NNP
Ferran Torres	NNP
Dani Alves	NNP
Marc-André ter Stegen	NNP
Memphis Depay	NNP
Bentley Bentayga	NNP
Gordon Ramsay	NNP
Jamie Oliver	NNP
ter Stegen	NNP
Austin Fraser	NNP
Steven Seagal	NNP
Tom Clancy	NNP
Green Day	NNP
Mau Mau	NNP
doo doo	UH
Gaza Strip	NNP
Jeep Renegade	NNP
Philips Airfryer	NNP
Philips Senseo	NNP
Peter Doocy	NNP
Galaxy S5	NNP
Galaxy S6	NNP
Galaxy S7	NNP
Galaxy S8	NNP
Galaxy S9	NNP
Galaxy S10	NNP
Galaxy S11	NNP
Galaxy S12	NNP
Galaxy S13	NNP
Galaxy S20	NNP
Galaxy S21	NNP
Galaxy S22	NNP
Brian Chesky	NNP
Urashima Tarō	NNP
Asen Vassilev	NNP
Simon Coveney	NNP
Financiele Dagblad	NNP
João Gomes Cravinho	NNP
OMV Petrom	NNP
Pat Gelsinger	NNP
Ralf Brandstätter	NNP
Bernd Eichinger	NNP
OTP Bank	NNP
Chris Christie	NNP
Reid Hoffman	NNP
Bhad Bhabie	NNP
Arthur D. Little	NNP
Visa Infinite	NNP
Julius Bär	NNP
Bloomberg Businessweek	NNP
Doug Heffernan	NNP
Carrie Heffernan	NNP
Qatar Telecom	NNP
Qatar Holding	NNP
Best Western	NNP
Karine Jean-Pierre	NNP
Tôn Thất Tùng	NNP
Hampden Park	NNP
Giovanni van Bronckhorst	NNP
Ibrox Stadium	NNP
Intel NUC	NNP
Eddy Cue	NNP
Phil Schiller	NNP
Air Baltic	NNP
Malik Harris	NNP
Ava Max	NNP
Patrick Vieira	NNP
Michael Burry	NNP
Bill Ackmann	NNP
Erin Brockovich	NNP
Le Cordon Bleu	NNP
Adobe Captivate	NNP
Adobe Presenter	NNP
Anthony Albanese	NNP
Ron Weasley	NNP
Patrick Dempsey	NNP
Nick Clegg	NNP
Renate Nyborg	NNP
Robb Elementary School	NNP
Salvador Ramos	NNP
Steve Kerr	NNP
Air Max	NNP
Air Astana	NNP
Machine Gun Kelly	NNP
Sandy Hook Elementary School	NNP
Tech Mahindra	NNP
NTT Data	NNP
Sopra Steria	NNP
HP Spectre	NNP
Sadio Mané	NNP
Billie Jean	NNP
John Strelecky	NNP
Madison Square Garden	NNP
Madison Square	NNP
Madison Square Park	NNP
Barclays Center	NNP
Jean-Pierre Léaud	NNP
Paige VanZant	NNP
Krauss-Maffei	NNP
Krauss-Maffei Wegmann	NNP
Berlin Ostbahnhof	NNP
Javier Olivan	NNP
Motorola ROKR	NNP
Chico Flores	NNP
Phil Mickelson	NNP
MacBook Airs	NNPS
Ace Ventura	NNP
Chesa Boudin	NNP
Ken Paxton	NNP
Letitia James	NNP
Ashley Moody	NNP
Bob Ferguson	NNP
Josh Shapiro	NNP
Kwame Raoul	NNP
