# Words that have two valid spellings (refer to https://github.com/languagetool-org/languagetool/issues/834). Used by WordCoherencyRule.
# For words that can have both initial uppercase and initial lowercase (romanise/Romanise), refer to https://forum.languagetool.org/t/coherency-rules-for-words-such-as-christianize-and-balkanize/3505/2
# This file must be encoded in UTF-8.
# NOTE: 
# 1) The comparison between two variants is based on the word's base form 
#    (Hence, variants which have the same base form such as 'cancelled' and 'canceled' are [currently] not detected)
# 2) to find fullforms those forms may need to be added to added.txt
# absinth;absinthe: https://wikidiff.com/absinth/absinthe
# gram;gramme. https://en.wikipedia.org/wiki/Gram_flour
# meter;metre: meter is an instrument and a unit of measurement.
# prise;prize: in BrE, both spellings are possible for the verb, but the noun is prize.
# whiskey;whisky. https://www.collinsdictionary.com/dictionary/english/whiskey
neutralisation;neutralization
neutralise;neutralize
neutraliser;neutralizer
nitrogenise;nitrogenize
nomadisation;nomadization
nomadise;nomadize
nominalisable;nominalizable
nominalisation;nominalization
nominalise;nominalize
non-compliance;noncompliance
nonpolarisable;nonpolarizable
normalisable;normalizable
normalisation;normalization
normalise;normalize
normaliser;normalizer
Normanisation;Normanization
Normanise;Normanize
notarised;notarized
novelisation;novelization
novelise;novelize
nuclearisation;nuclearization
nuclearise;nuclearize
objectivisation;objectivization
objectivise;objectivize
Occidentalise;Occidentalize
odorise;odorize
officialise;officialize
oligomerise;oligomerize
ontologise;ontologize
opalise;opalize
operationalisable;operationalizable
operationalise;operationalize
operatise;operatize
opinionise;opinionize
opsonisation;opsonization
opsonise;opsonize
optimisable;optimizable
optimisation;optimization
optimise;optimize
optimiser;optimizer
organisability;organizability
organisable;organizable
organisation;organization
organisational;organizational
organisationally;organizationally
organise;organize
organiser;organizer
Orientalisation;Orientalization
orientalise;orientalize
orthogonalise;orthogonalize
ostracisable;ostracizable
ostracisation;ostracization
ostracise;ostracize
outorganise;outorganize
ovalise;ovalize
ovariectomise;ovariectomize
overcapitalise;overcapitalize
overdramatise;overdramatize
overemphasise;overemphasize
overfertilise;overfertilize
overgeneralisation;overgeneralization
overgeneralise;overgeneralize
overidealise;overidealize
overspecialise;overspecialize
overutilisation;overutilization
overutilise;overutilize
oxidisability;oxidizability
oxidisable;oxidizable
oxidisation;oxidization
oxidise;oxidize
oxidiser;oxidizer
ozonisation;ozonization
ozonise;ozonize
ozoniser;ozonizer
packetise;packetize
paganise;paganize
palatalise;palatalize
palletise;palletize
palletiser;palletizer
parabolise;parabolize
parallelisation;parallelization
parallelise;parallelize
paralyse;paralyze
parameterise;parameterize
parameterization;parametrization
parameterize;parametrize
parametrisation;parametrization
parametrise;parametrize
parasitise;parasitize
parenthesise;parenthesize
parenthetic;parenthetical
Parkerise;Parkerize
parodise;parodize
partialise;partialize
particularise;particularize
