#French multiwords file used for chunking
#IMPORTANT: always use only straight (typewriter) apostrophes, not typographical apostrophes 
#separatorRegExp=[\t;]
Bram Moolenaar	Z m s
Britney Spears	Z f s
Brooke Shields	Z f s
Cate Blanchett	Z f s
Charlotte Brontë	Z f s
Chris Isaak	Z m s
Cliff Richard	Z m s
Courteney Cox	Z f s
Cyndi Lauper	Z f s
Cédric Villani	Z m s
Dark Vador	Z m s
Debra Winger	Z f s
Def Leppard	Z e sp
Dominique Strauss-Kahn	Z m s
Donna Summer	Z f s
Eddie Rabbitt	Z m s
Edgar Allan Poe	Z m s
Edmond Rostand	Z m s
Elliott Gould	Z m s
Emanuel Lasker	Z m s
Emmanuel Macron	Z m s
Ennio Morricone	Z m s
Erykah Badu	Z f s
Eva Mendes	Z f s
Famille Addams	Z f s
Forrest Gump	Z m s
France Gall	Z f s
François Hollande	Z m s
François Mitterrand	Z m s
Freddie Mercury	Z m s
Freddy Krueger	Z m s
Georges Wolinski	Z m s
Grateful Dead	Z e sp
Guns N' Roses	Z m p
Gustav Mahler	Z m s
Henri Poincaré	Z m s
Hillary Clinton	Z f s
Íngrid Betancourt	Z f s
Jack Lang	Z m s
Jamie Foxx	Z m s
Jane Austen	Z f s
Janis Joplin	Z f s
Jennifer Aniston	Z f s
Jerry Seinfeld	Z m s
Jimi Hendrix	Z m s
Jimmy Buffett	Z m s
Jimmy Page	Z m s
Jodie Foster	Z f s
John Entwistle	Z m s
Jon Stewart	Z m s
Jonah Lomu	Z m s
Jonathan Franzen	Z m s
Justin Bieber	Z m s
Kanye West	Z m s
Karl Lagerfeld	Z m s
Karl Marx	Z m s
Keira Knightley	Z f s
Keith Jarrett	Z m s
Keith Richards	Z m s
Led Zeppelin	Z e sp
Lee Sedol	Z m s
Leonardo DiCaprio	Z m s
Liliane Bettencourt	Z f s
Linus Torvalds	Z m s
Lionel Richie	Z m s
Liza Minnelli	Z f s
Lyle Lovett	Z m s
Manuel Valls	Z m s
Mariah Carey	Z f s
Martin Scorsese	Z m s
Marx Brothers	Z m p
Meryl Streep	Z f s
Michel Delpech	Z m s
Michel Fugain	Z m s
Micky Dolenz	Z m s
Missy Elliott	Z f s
Natalie Cole	Z f s
Natalie Dormer	Z f s
Natalie Imbruglia	Z f s
Natalie Portman	Z f s
Natalie Wood	Z f s
Nelson Mandela	Z m s
Nicki Minaj	Z f s
Nicolas Cage	Z m s
Nicolas Sarkozy	Z m s
Noam Chomsky	Z m s
Ozzy Osbourne	Z m s
Pierre-Gilles de Gennes	Z m s
Randy Rhoads	Z m s
Richard Stallman	Z m s
Rickie Lee Jones	Z m s
Ringo Starr	Z m s
Roger Hodgson	Z m s
Roland Garros	Z e sp
Ronnie Van Zant	Z m s
Salma Hayek	Z f s
Scarlett Johansson	Z f s
Sheryl Crow	Z f s
Shia LaBeouf	Z f s
Sigmund Freud	Z m s
Sophia Loren	Z f s
Steffi Graf	Z f s
Stephenie Meyer	Z f s
Steve Ballmer	Z m s
Steve Carell	Z m s
Steve Jobs	Z m s
Ségolène Royal	Z f s
Thom Yorke	Z m s
Tupac Shakur	Z m s
Warren Buffett	Z m s
Weird Al Yankovic	Z m s
Whoopi Goldberg	Z f s
Will Ferrell	Z m s
Willy Brandt	Z m s
Yann Tiersen	Z m s
D'Souza	Z e sp
data scientist	N e s
data scientists	N e p
fille au pair	N f s
filles au pair	N f p
H&M	Z e sp
H & M	Z e sp
en grande partie	A
Black Friday	M m sp
strap-on	M m s
comment-s'appelle-t-il	M m s
comment-s'appelle-t-elle	M f s
à deux sous	J e sp
à la manque	J e sp
bouche à oreille	N m s
US Army	Z m s
Grand Place	Z f s
La La Land	Z e sp
chasse d'eau	N f s
Arsène Lupin	Z m s
