#French multiwords file used for chunking
#IMPORTANT: always use only straight (typewriter) apostrophes, not typographical apostrophes 
#separatorRegExp=[\t;]
Aulnay-l'Aître;Z e sp
Auriac-l'Église;Z e sp
Auzouville-l'Esneval;Z e sp
Avenay-Val-d'Or;Z e sp
Badefols-d'Ans;Z e sp
Bailleau-l'Évêque;Z e sp
Balaguier-d'Olt;Z e sp
Barry-d'Islemade;Z e sp
Barésia-sur-l'Ain;Z e sp
Beaucourt-sur-l'Ancre;Z e sp
Beaucourt-sur-l'Hallue;Z e sp
Beaune-d'Allier;Z e sp
Beauregard-l'Évêque;Z e sp
Bel-Air-Val-d'Ance;Z e sp
Belmont-d'Azergues;Z e sp
Bernières-d'Ailly;Z e sp
Berre-l'Étang;Z e sp
Betbezer-d'Armagnac;Z e sp
Blainville-sur-l'Eau;Z e sp
Blot-l'Église;Z e sp
Bois-d'Amont;Z e sp
Bois-d'Arcy;Z e sp
Bois-d'Ennebourg;Z e sp
Bois-l'Évêque;Z e sp
Boissy-l'Aillerie;Z e sp
Bordères-sur-l'Échez;Z e sp
Bort-l'Étang;Z e sp
Bosmie-l'Aiguille;Z e sp
Boule-d'Amont;Z e sp
Bourbon-l'Archambault;Z e sp
Bourg-d'Oueil;Z e sp
Bourg-l'Évêque;Z e sp
Bras-d'Asse;Z e sp
Bretagne-d'Armagnac;Z e sp
Bruay-sur-l'Escaut;Z e sp
Buigny-l'Abbé;Z e sp
Buire-sur-l'Ancre;Z e sp
Buxières-d'Aillac;Z e sp
Bénévent-l'Abbaye;Z e sp
Cabrières-d'Aigues;Z e sp
Cabrières-d'Avignon;Z e sp
Camblain-l'Abbé;Z e sp
Campagne-d'Armagnac;Z e sp
Camplong-d'Aude;Z e sp
Camps-sur-l'Agly;Z e sp
Camps-sur-l'Isle;Z e sp
Cap-d'Ail;Z e sp
Cartigny-l'Épinay;Z e sp
Castelmoron-d'Albret;Z e sp
Castelnau-d'Anglès;Z e sp
Castelnau-d'Arbieu;Z e sp
Castelnau-d'Aude;Z e sp
Castelnau-d'Estrétefonds;Z e sp
Castelnau-sur-l'Auvignon;Z e sp
Castex-d'Armagnac;Z e sp
Caupenne-d'Armagnac;Z e sp
Cazaux-d'Anglès;Z e sp
Cazouls-d'Hérault;Z e sp
Cazères-sur-l'Adour;Z e sp
Cernay-l'Église;Z e sp
Chalain-d'Uzore;Z e sp
Champ-d'Oiseau;Z e sp
Champagne-au-Mont-d'Or;Z e sp
Chapelle-d'Huin;Z e sp
Charmes-en-l'Angle;Z e sp
Charmes-sur-l'Herbasse;Z e sp
Charmois-l'Orgueilleux;Z e sp
Chavannes-sur-l'Étang;Z e sp
Chazay-d'Azergues;Z e sp
Chemin-d'Aisey;Z e sp
Chenac-Saint-Seurin-d'Uzet;Z e sp
Chevigney-sur-l'Ognon;Z e sp
Cheylard-l'Évêque;Z e sp
Chirat-l'Église;Z e sp
Chonas-l'Amballan;Z e sp
Château-l'Abbaye;Z e sp
Château-l'Hermitage;Z e sp
Château-l'Évêque;Z e sp
Châteauneuf-d'Entraunes;Z e sp
Châteauneuf-d'Ille-et-Vilaine;Z e sp
Châteauneuf-d'Oze;Z e sp
Ciré-d'Aunis;Z e sp
Civrieux-d'Azergues;Z e sp
Clairvaux-d'Aveyron;Z e sp
Clermont-d'Excideuil;Z e sp
Clermont-l'Hérault;Z e sp
Cléon-d'Andran;Z e sp
Collonges-au-Mont-d'Or;Z e sp
Condom-d'Aubrac;Z e sp
Condé-sur-l'Escaut;Z e sp
Corgnac-sur-l'Isle;Z e sp
Cornillon-sur-l'Oule;Z e sp
Corvol-d'Embernard;Z e sp
Corvol-l'Orgueilleux;Z e sp
Cosne-d'Allier;Z e sp
Coulonges-sur-l'Autize;Z e sp
Cour-l'Évêque;Z e sp
Cournon-d'Auvergne;Z e sp
Couture-d'Argenson;Z e sp
Couzon-au-Mont-d'Or;Z e sp
Criquetot-l'Esneval;Z e sp
Crèvecœur-sur-l'Escaut;Z e sp
Créon-d'Armagnac;Z e sp
Curis-au-Mont-d'Or;Z e sp
Cussey-sur-l'Ognon;Z e sp
Cuxac-d'Aude;Z e sp
Céaux-d'Allègre;Z e sp
D'Huison-Longueville;Z e sp
Dolus-d'Oléron;Z e sp
Domptail-en-l'Air;Z e sp
Dore-l'Église;Z e sp
Débats-Rivière-d'Orpra;Z e sp
Ectot-l'Auber;Z e sp
Espira-de-l'Agly;Z e sp
Faye-l'Abbesse;Z e sp
Fleurieux-sur-l'Arbresle;Z e sp
Fontaine-l'Abbé;Z e sp
Fontaine-l'Étalon;Z e sp
Fontaines-d'Ozillac;Z e sp
Fontenille-Saint-Martin-d'Entraigues;Z e sp
Fontevraud-l'Abbaye;Z e sp
Fontiès-d'Aude;Z e sp
Forest-l'Abbaye;Z e sp
Fresnay-l'Évêque;Z e sp
Fêche-l'Église;Z e sp
Gaillac-d'Aveyron;Z e sp
Germigny-l'Exempt;Z e sp
Germigny-l'Évêque;Z e sp
Germs-sur-l'Oussouet;Z e sp
Geüs-d'Oloron;Z e sp
Girmont-Val-d'Ajol;Z e sp
Gonfreville-l'Orcher;Z e sp
Grand'Combe-Châteleu;Z e sp
Grand'Combe-des-Bois;Z e sp
Granges-d'Ans;Z e sp
Grayan-et-l'Hôpital;Z e sp
Grenade-sur-l'Adour;Z e sp
Guitalens-L'Albarède;Z e sp
Gué-d'Hossus;Z e sp
Gy-l'Évêque;Z e sp
Géus-d'Arzacq;Z e sp
Hautot-l'Auvray;Z e sp
Heiltz-l'Évêque;Z e sp
Herpy-l'Arlésienne;Z e sp
Hesdin-l'Abbé;Z e sp
Heume-l'Église;Z e sp
Hodenc-l'Évêque;Z e sp
Illiers-l'Évêque;Z e sp
Issy-l'Évêque;Z e sp
Izaut-de-l'Hôtel;Z e sp
Jouet-sur-l'Aubois;Z e sp
Joué-l'Abbé;Z e sp
Juzet-d'Izaut;Z e sp
L'Abergement-Clémenciat;Z e sp
L'Abergement-Sainte-Colombe;Z e sp
L'Abergement-de-Cuisery;Z e sp
L'Abergement-de-Varey;Z e sp
L'Aiguillon-la-Presqu'île;Z e sp
L'Aiguillon-sur-Vie;Z e sp
L'Ajoupa-Bouillon;Z e sp
L'Argentière-la-Bessée;Z e sp
L'Haÿ-les-Roses;Z e sp
L'Honor-de-Cos;Z e sp
L'Hospitalet-du-Larzac;Z e sp
L'Hospitalet-près-l'Andorre;Z e sp
L'Hôme-Chamondot;Z e sp
L'Hôpital-Saint-Blaise;Z e sp
L'Hôpital-Saint-Lieffroy;Z e sp
L'Hôpital-d'Orion;Z e sp
L'Hôpital-du-Grosbois;Z e sp
L'Hôpital-le-Grand;Z e sp
L'Hôpital-le-Mercier;Z e sp
L'Hôpital-sous-Rochefort;Z e sp
L'Isle-Adam;Z e sp
L'Isle-Arné;Z e sp
L'Isle-Bouzon;Z e sp
L'Isle-Jourdain;Z e sp
L'Isle-d'Abeau;Z e sp
L'Isle-d'Espagnac;Z e sp
L'Isle-de-Noé;Z e sp
L'Isle-en-Dodon;Z e sp
L'Isle-en-Rigault;Z e sp
L'Isle-sur-Serein;Z e sp
L'Isle-sur-la-Sorgue;Z e sp
L'Isle-sur-le-Doubs;Z e sp
L'Orée-d'Écouves;Z e sp
L'Échelle-Saint-Aurin;Z e sp
L'Église-aux-Bois;Z e sp
L'Épine-aux-Bois;Z e sp
L'Étang-Bertrand;Z e sp
L'Étang-Salé;Z e sp
L'Étang-Vergy;Z e sp
L'Étang-la-Ville;Z e sp
L'Île-Bouchard;Z e sp
L'Île-Rousse;Z e sp
L'Île-Saint-Denis;Z e sp
L'Île-d'Elle;Z e sp
L'Île-d'Olonne;Z e sp
L'Île-d'Yeu;Z e sp
Labastide-d'Anjou;Z e sp
Labastide-d'Armagnac;Z e sp
Labatie-d'Andaure;Z e sp
Lachaussée-du-Bois-d'Écu;Z e sp
Lacour-d'Arcenay;Z e sp
Lagarde-d'Apt;Z e sp
Lalevade-d'Ardèche;Z e sp
Laroque-d'Olmes;Z e sp
Larroque-sur-l'Osse;Z e sp
Laudun-l'Ardoise;Z e sp
Laval-d'Aix;Z e sp
Lawarde-Mauger-l'Hortoy;Z e sp
Lescure-d'Albigeois;Z e sp
Lias-d'Armagnac;Z e sp
Livarot-Pays-d'Auge;Z e sp
Longevilles-Mont-d'Or;Z e sp
Lonlay-l'Abbaye;Z e sp
Loretz-d'Argenton;Z e sp
Lucenay-l'Évêque;Z e sp
Lugon-et-l'Île-du-Carnay;Z e sp
Léguillac-de-l'Auche;Z e sp
Magnat-l'Étrange;Z e sp
Marcilly-d'Azergues;Z e sp
Marcy-l'Étoile;Z e sp
Marigny-l'Église;Z e sp
Marsac-sur-l'Isle;Z e sp
Martigny-sur-l'Ante;Z e sp
Mas-d'Auvignon;Z e sp
Mauléon-d'Armagnac;Z e sp
Mauvezin-d'Armagnac;Z e sp
Mazan-l'Abbaye;Z e sp
Mazeyrat-d'Allier;Z e sp
Mesnil-Roc'h;Z e sp
Mesnil-sur-l'Estrée;Z e sp
Meyrignac-l'Église;Z e sp
Miramont-d'Astarac;Z e sp
Monacia-d'Aullène;Z e sp
Monacia-d'Orezza;Z e sp
Monceaux-l'Abbaye;Z e sp
Moncetz-l'Abbaye;Z e sp
Monestier-d'Ambel;Z e sp
Monistrol-d'Allier;Z e sp
Monlezun-d'Armagnac;Z e sp
Mont-d'Astarac;Z e sp
Mont-d'Origny;Z e sp
Mont-l'Étroit;Z e sp
Mont-l'Évêque;Z e sp
Montagnac-d'Auberoche;Z e sp
Montauban-sur-l'Ouvèze;Z e sp
Montceaux-l'Étoile;Z e sp
Monteignet-sur-l'Andelot;Z e sp
Montfaucon-d'Argonne;Z e sp
Montfort-l'Amaury;Z e sp
Montier-en-l'Isle;Z e sp
Montigny-l'Allier;Z e sp
Montigny-sur-l'Ain;Z e sp
Montigny-sur-l'Hallue;Z e sp
Montreuil-l'Argillé;Z e sp
Morne-à-l'Eau;Z e sp
Moutier-d'Ahun;Z e sp
Moÿ-de-l'Aisne;Z e sp
Méricourt-l'Abbé;Z e sp
Nesle-l'Hôpital;Z e sp
Neuilly-l'Hôpital;Z e sp
Neuilly-l'Évêque;Z e sp
Nieuil-l'Espoir;Z e sp
Nogent-l'Abbesse;Z e sp
Nogent-l'Artaud;Z e sp
Noirmoutier-en-l'Île;Z e sp
Noron-l'Abbaye;Z e sp
Notre-Dame-d'Aliermont;Z e sp
Notre-Dame-d'Estrées-Corbon;Z e sp
Notre-Dame-d'Oé;Z e sp
Notre-Dame-d'Épine;Z e sp
Notre-Dame-de-l'Isle;Z e sp
Notre-Dame-de-l'Osier;Z e sp
Noyant-d'Allier;Z e sp
Nuaillé-d'Aunis;Z e sp
Nézignan-l'Évêque;Z e sp
Octeville-l'Avenel;Z e sp
Orbais-l'Abbaye;Z e sp
Orgnac-l'Aven;Z e sp
Ouville-l'Abbaye;Z e sp
Parc-d'Anxtot;Z e sp
Parigné-l'Évêque;Z e sp
Paris-l'Hôpital;Z e sp
Payra-sur-l'Hers;Z e sp
Pechs-de-l'Espérance;Z e sp
Penne-d'Agenais;Z e sp
Perrigny-sur-l'Ognon;Z e sp
Peypin-d'Aigues;Z e sp
Peyrefitte-sur-l'Hers;Z e sp
Pie-d'Orezza;Z e sp
Pierrepont-sur-l'Arentèle;Z e sp
Plaine-d'Argenson;Z e sp
Plan-d'Aups-Sainte-Baume;Z e sp
Plan-d'Orgon;Z e sp
Plancy-l'Abbaye;Z e sp
Plœuc-L'Hermitage;Z e sp
Poey-d'Oloron;Z e sp
Poggio-d'Oletta;Z e sp
Poleymieux-au-Mont-d'Or;Z e sp
Poncey-sur-l'Ignon;Z e sp
Pont-d'Ain;Z e sp
Pont-d'Héry;Z e sp
Pont-d'Ouilly;Z e sp
Pont-de-l'Arche;Z e sp
Pont-de-l'Isère;Z e sp
Pont-l'Abbé;Z e sp
Pont-l'Abbé-d'Arnoult;Z e sp
Pont-l'Évêque;Z e sp
Pont-sur-l'Ognon;Z e sp
Pontonx-sur-l'Adour;Z e sp
Port-d'Envaux;Z e sp
Portet-d'Aspet;Z e sp
Prades-d'Aubrac;Z e sp
Pressagny-l'Orgueilleux;Z e sp
Preyssac-d'Excideuil;Z e sp
Pruillé-l'Éguillé;Z e sp
Prée-d'Anjou;Z e sp
Puch-d'Agenais;Z e sp
Puy-d'Arnac;Z e sp
Puy-l'Évêque;Z e sp
Pégairolles-de-l'Escalette;Z e sp
Raissac-d'Aude;Z e sp
Raon-l'Étape;Z e sp
Razac-d'Eymet;Z e sp
Razac-sur-l'Isle;Z e sp
Recoules-d'Aubrac;Z e sp
Rives-d'Autise;Z e sp
Roche-d'Agoux;Z e sp
Rosiers-d'Égletons;Z e sp
Rosnay-l'Hôpital;Z e sp
Rouffiac-d'Aude;Z e sp
Rozier-Côtes-d'Aurec;Z e sp
Saint-Alban-d'Ay;Z e sp
Saint-Alban-d'Hurtières;Z e sp
Saint-Alyre-d'Arlanc;Z e sp
Saint-André-Goule-d'Oie;Z e sp
Saint-André-d'Allas;Z e sp
Saint-André-d'Apchon;Z e sp
Saint-André-d'Embrun;Z e sp
Saint-André-d'Huiriat;Z e sp
Saint-André-d'Hébertot;Z e sp
Saint-André-d'Olérargues;Z e sp
Saint-André-de-l'Eure;Z e sp
Saint-André-de-l'Épine;Z e sp
Saint-Antoine-sur-l'Isle;Z e sp
Saint-Arcons-d'Allier;Z e sp
Saint-Auban-d'Oze;Z e sp
Saint-Auban-sur-l'Ouvèze;Z e sp
Saint-Aubin-d'Appenai;Z e sp
Saint-Aubin-d'Arquenay;Z e sp
Saint-Aubin-d'Aubigné;Z e sp
Saint-Aubin-d'Écrosville;Z e sp
Saint-Barthélemy-d'Agenais;Z e sp
Saint-Barthélemy-d'Anjou;Z e sp
Saint-Benin-d'Azy;Z e sp
Saint-Benoît-d'Hébertot;Z e sp
Saint-Bonnet-l'Enfantier;Z e sp
Saint-Capraise-d'Eymet;Z e sp
Saint-Cernin-de-l'Herm;Z e sp
Saint-Christophe-d'Allier;Z e sp
Saint-Chély-d'Apcher;Z e sp
Saint-Chély-d'Aubrac;Z e sp
Saint-Ciers-d'Abzac;Z e sp
Saint-Clair-sur-l'Elle;Z e sp
Saint-Couat-d'Aude;Z e sp
Saint-Crépin-d'Auberoche;Z e sp
Saint-Cyr-au-Mont-d'Or;Z e sp
Saint-Cyr-l'École;Z e sp
Saint-Côme-d'Olt;Z e sp
Saint-Denis-d'Aclon;Z e sp
Saint-Denis-d'Anjou;Z e sp
Saint-Denis-d'Augerons;Z e sp
Saint-Denis-d'Oléron;Z e sp
Saint-Denis-d'Orques;Z e sp
Saint-Denis-de-l'Hôtel;Z e sp
Saint-Didier-au-Mont-d'Or;Z e sp
Saint-Didier-d'Aussiat;Z e sp
Saint-Dier-d'Auvergne;Z e sp
Saint-Dizier-l'Évêque;Z e sp
Saint-Donat-sur-l'Herbasse;Z e sp
Saint-Ferréol-d'Auroure;Z e sp
Saint-Flour-l'Étang;Z e sp
Saint-Front-d'Alemps;Z e sp
Saint-Frézal-d'Albuges;Z e sp
Saint-Féliu-d'Amont;Z e sp
Saint-Féliu-d'Avall;Z e sp
Saint-Félix-de-l'Héras;Z e sp
Saint-Genest-d'Ambière;Z e sp
Saint-Genis-d'Hiersac;Z e sp
Saint-Genis-l'Argentière;Z e sp
Saint-Georges-d'Annebecq;Z e sp
Saint-Georges-d'Aurac;Z e sp
Saint-Georges-d'Elle;Z e sp
Saint-Georges-d'Espéranche;Z e sp
Saint-Georges-d'Hurtières;Z e sp
Saint-Georges-d'Oléron;Z e sp
Saint-Georges-d'Orques;Z e sp
Saint-Georges-sur-l'Aa;Z e sp
Saint-Geours-d'Auribat;Z e sp
Saint-Germain-au-Mont-d'Or;Z e sp
Saint-Germain-d'Anxure;Z e sp
Saint-Germain-d'Arcé;Z e sp
Saint-Germain-d'Aunay;Z e sp
Saint-Germain-d'Elle;Z e sp
Saint-Germain-d'Esteuil;Z e sp
Saint-Germain-d'Étables;Z e sp
Saint-Germain-l'Herm;Z e sp
Saint-Gervais-d'Auvergne;Z e sp
Saint-Girons-d'Aiguevives;Z e sp
Saint-Grégoire-d'Ardennes;Z e sp
Saint-Hilaire-d'Estissac;Z e sp
Saint-Hilaire-d'Ozilhan;Z e sp
Saint-Jacques-d'Aliermont;Z e sp
Saint-Jacques-d'Ambur;Z e sp
Saint-Jacques-d'Atticieux;Z e sp
Saint-Jean-d'Aigues-Vives;Z e sp
Saint-Jean-d'Alcapiès;Z e sp
Saint-Jean-d'Angle;Z e sp
Saint-Jean-d'Angély;Z e sp
Saint-Jean-d'Arves;Z e sp
Saint-Jean-d'Arvey;Z e sp
Saint-Jean-d'Assé;Z e sp
Saint-Jean-d'Ataux;Z e sp
Saint-Jean-d'Aubrigoux;Z e sp
Saint-Jean-d'Aulps;Z e sp
Saint-Jean-d'Avelanne;Z e sp
Saint-Jean-d'Elle;Z e sp
Saint-Jean-d'Estissac;Z e sp
Saint-Jean-d'Heurs;Z e sp
Saint-Jean-d'Hérans;Z e sp
Saint-Jean-d'Illac;Z e sp
Saint-Jean-d'Ormont;Z e sp
Saint-Jeure-d'Andaure;Z e sp
Saint-Jeure-d'Ay;Z e sp
Saint-Jouan-de-l'Isle;Z e sp
Saint-Julien-d'Ance;Z e sp
Saint-Julien-d'Armagnac;Z e sp
Saint-Julien-d'Asse;Z e sp
Saint-Julien-d'Intres;Z e sp
Saint-Julien-d'Oddes;Z e sp
Saint-Julien-de-l'Escap;Z e sp
Saint-Julien-de-l'Herms;Z e sp
Saint-Julien-l'Ars;Z e sp
Saint-Just-d'Ardèche;Z e sp
Saint-Just-d'Avray;Z e sp
Saint-Laurent-d'Agny;Z e sp
Saint-Laurent-d'Aigouze;Z e sp
Saint-Laurent-d'Andenay;Z e sp
Saint-Laurent-d'Arce;Z e sp
Saint-Laurent-d'Olt;Z e sp
Saint-Laurent-d'Onay;Z e sp
Saint-Laurent-l'Abbaye;Z e sp
Saint-Laurent-les-Bains-Laval-d'Aurelle;Z e sp
Saint-Leu-d'Esserent;Z e sp
Saint-Louis-en-l'Isle;Z e sp
Saint-Loup-d'Ordon;Z e sp
Saint-Léon-d'Issigeac;Z e sp
Saint-Léon-sur-l'Isle;Z e sp
Saint-Léopardin-d'Augy;Z e sp
Saint-M'Hervé;Z e sp
Saint-Maixent-l'École;Z e sp
Saint-Marcel-d'Ardèche;Z e sp
Saint-Marcel-d'Urfé;Z e sp
Saint-Marcel-l'Éclairé;Z e sp
Saint-Mars-d'Outillé;Z e sp
Saint-Mars-d'Égrenne;Z e sp
Saint-Martial-d'Albarède;Z e sp
Saint-Martial-d'Artenset;Z e sp
Saint-Martin-d'Abbat;Z e sp
Saint-Martin-d'Ablois;Z e sp
Saint-Martin-d'Août;Z e sp
Saint-Martin-d'Arberoue;Z e sp
Saint-Martin-d'Arc;Z e sp
Saint-Martin-d'Ardèche;Z e sp
Saint-Martin-d'Armagnac;Z e sp
Saint-Martin-d'Arrossa;Z e sp
Saint-Martin-d'Ary;Z e sp
Saint-Martin-d'Aubigny;Z e sp
Saint-Martin-d'Audouville;Z e sp
Saint-Martin-d'Auxigny;Z e sp
Saint-Martin-d'Auxy;Z e sp
Saint-Martin-d'Entraunes;Z e sp
Saint-Martin-d'Estréaux;Z e sp
Saint-Martin-d'Hardinghem;Z e sp
Saint-Martin-d'Heuille;Z e sp
Saint-Martin-d'Hères;Z e sp
Saint-Martin-d'Ollières;Z e sp
Saint-Martin-d'Oney;Z e sp
Saint-Martin-d'Ordon;Z e sp
Saint-Martin-d'Oydes;Z e sp
Saint-Martin-d'Uriage;Z e sp
Saint-Martin-d'Écublei;Z e sp
Saint-Martin-de-l'Arçon;Z e sp
Saint-Martin-l'Aiguillon;Z e sp
Saint-Martin-l'Ars;Z e sp
Saint-Martin-l'Astier;Z e sp
Saint-Martin-l'Heureux;Z e sp
Saint-Martin-l'Hortier;Z e sp
Saint-Maurice-d'Ardèche;Z e sp
Saint-Maurice-d'Ibie;Z e sp
Saint-Maurice-d'Ételan;Z e sp
Saint-Maurice-l'Exil;Z e sp
Saint-Michel-d'Aurance;Z e sp
Saint-Michel-d'Euzet;Z e sp
Saint-Michel-d'Halescourt;Z e sp
Saint-Michel-en-l'Herm;Z e sp
Saint-Michel-l'Observatoire;Z e sp
Saint-Médard-d'Aunis;Z e sp
Saint-Médard-d'Excideuil;Z e sp
Saint-Médard-d'Eyrans;Z e sp
Saint-Nazaire-d'Aude;Z e sp
Saint-Nicolas-d'Aliermont;Z e sp
Saint-Nizier-d'Azergues;Z e sp
Saint-Ouen-d'Aunis;Z e sp
Saint-Ouen-l'Aumône;Z e sp
Saint-Pantaly-d'Excideuil;Z e sp
Saint-Pardoux-d'Arnet;Z e sp
Saint-Pardoux-l'Ortigier;Z e sp
Saint-Paul-d'Espis;Z e sp
Saint-Paul-d'Izeaux;Z e sp
Saint-Paul-d'Oueil;Z e sp
Saint-Paul-d'Uzore;Z e sp
Saint-Pey-d'Armens;Z e sp
Saint-Philippe-d'Aiguille;Z e sp
Saint-Pierre-d'Albigny;Z e sp
Saint-Pierre-d'Alvey;Z e sp
Saint-Pierre-d'Amilly;Z e sp
Saint-Pierre-d'Argençon;Z e sp
Saint-Pierre-d'Arthéglise;Z e sp
Saint-Pierre-d'Aubézies;Z e sp
Saint-Pierre-d'Aurillac;Z e sp
Saint-Pierre-d'Entremont;Z e sp
Saint-Pierre-d'Exideuil;Z e sp
Saint-Pierre-d'Eyraud;Z e sp
Saint-Pierre-d'Irube;Z e sp
Saint-Pierre-d'Oléron;Z e sp
Saint-Pierre-de-l'Isle;Z e sp
Saint-Priest-d'Andelot;Z e sp
Saint-Privat-d'Allier;Z e sp
Saint-Préjet-d'Allier;Z e sp
Saint-Pé-d'Ardet;Z e sp
Saint-Rambert-d'Albon;Z e sp
Saint-Remy-en-l'Eau;Z e sp
Saint-Romain-au-Mont-d'Or;Z e sp
Saint-Romain-d'Ay;Z e sp
Saint-Romain-d'Urfé;Z e sp
Saint-Rémy-l'Honoré;Z e sp
Saint-Sauves-d'Auvergne;Z e sp
Saint-Sauveur-d'Aunis;Z e sp
Saint-Sauveur-d'Émalleville;Z e sp
Saint-Seine-l'Abbaye;Z e sp
Saint-Seurin-sur-l'Isle;Z e sp
Saint-Sorlin-d'Arves;Z e sp
Saint-Sulpice-d'Arnoult;Z e sp
Saint-Sulpice-d'Excideuil;Z e sp
Saint-Symphorien-d'Ancelles;Z e sp
Saint-Symphorien-d'Ozon;Z e sp
Saint-Sébastien-d'Aigrefeuille;Z e sp
Saint-Séverin-d'Estissac;Z e sp
Saint-Vaast-d'Équiqueville;Z e sp
Saint-Victor-d'Épine;Z e sp
Saint-Victor-l'Abbaye;Z e sp
Saint-Vigor-d'Ymonville;Z e sp
Saint-Vincent-Rive-d'Olt;Z e sp
Saint-Vincent-d'Autéjac;Z e sp
Saint-Vincent-d'Olargues;Z e sp
Saint-Vincent-sur-l'Isle;Z e sp
Saint-Élix-d'Astarac;Z e sp
Saint-Éloy-d'Allier;Z e sp
Saint-Étienne-d'Albagnan;Z e sp
Saint-Étienne-d'Orthe;Z e sp
Saint-Étienne-de-l'Olm;Z e sp
Saint-Étienne-du-Gué-de-l'Isle;Z e sp
Saint-Étienne-l'Allier;Z e sp
Sainte-Agathe-d'Aliermont;Z e sp
Sainte-Anne-d'Auray;Z e sp
Sainte-Christie-d'Armagnac;Z e sp
Sainte-Colombe-sur-l'Hers;Z e sp
Sainte-Cécile-d'Andorge;Z e sp
Sainte-Eulalie-d'Ans;Z e sp
Sainte-Eulalie-d'Olt;Z e sp
Sainte-Foy-d'Aigrefeuille;Z e sp
Sainte-Foy-l'Argentière;Z e sp
Sainte-Marguerite-d'Elle;Z e sp
Sainte-Marie-Outre-l'Eau;Z e sp
Sainte-Marie-d'Alloix;Z e sp
Sainte-Marie-d'Alvey;Z e sp
Sainte-Marie-d'Attez;Z e sp
Salles-d'Angles;Z e sp
Salles-d'Armagnac;Z e sp
Salles-d'Aude;Z e sp
Salles-sur-l'Hers;Z e sp
Sallèles-d'Aude;Z e sp
San-Gavino-d'Ampugnani;Z e sp
Sanssac-l'Église;Z e sp
Sant'Andréa-d'Orcino;Z e sp
Sant'Andréa-di-Bozio;Z e sp
Sant'Andréa-di-Cotone;Z e sp
Sari-d'Orcino;Z e sp
Sarliac-sur-l'Isle;Z e sp
Savignac-de-l'Isle;Z e sp
Savigné-l'Évêque;Z e sp
Sceaux-d'Anjou;Z e sp
Seillons-Source-d'Argens;Z e sp
Sentenac-d'Oust;Z e sp
Seuil-d'Argonne;Z e sp
Signy-l'Abbaye;Z e sp
Sogny-en-l'Angle;Z e sp
Sonnac-sur-l'Hers;Z e sp
Sorde-l'Abbaye;Z e sp
Tain-l'Hermitage;Z e sp
Termes-d'Armagnac;Z e sp
Thieulloy-l'Abbaye;Z e sp
Thorigné-d'Anjou;Z e sp
Thun-l'Évêque;Z e sp
Tournon-d'Agenais;Z e sp
Touët-de-l'Escarène;Z e sp
Trois-Fontaines-l'Abbaye;Z e sp
Troye-d'Ariège;Z e sp
Trucy-l'Orgueilleux;Z e sp
Ugny-l'Équipée;Z e sp
Usclas-d'Hérault;Z e sp
Ussel-d'Allier;Z e sp
Vabres-l'Abbaye;Z e sp
Val-d'Aigoual;Z e sp
Val-d'Arc;Z e sp
Val-d'Auge;Z e sp
Val-d'Auzon;Z e sp
Val-d'Isère;Z e sp
Val-d'Izé;Z e sp
Val-d'Oire-et-Gartempe;Z e sp
Val-d'Ornain;Z e sp
Val-d'Épy;Z e sp
Val-d'Étangson;Z e sp
Valence-d'Albigeois;Z e sp
Valle-d'Alesani;Z e sp
Valle-d'Orezza;Z e sp
Vallon-Pont-d'Arc;Z e sp
Vallons-de-l'Erdre;Z e sp
Vallées-d'Antraigues-Asperjoc;Z e sp
Varenne-l'Arconce;Z e sp
Verneuil-l'Étang;Z e sp
Verteuil-d'Agenais;Z e sp
Vicq-d'Auribat;Z e sp
Viellenave-d'Arthez;Z e sp
Vieu-d'Izenave;Z e sp
Villar-d'Arêne;Z e sp
Villard-d'Héry;Z e sp
Villards-d'Héria;Z e sp
Ville-d'Avray;Z e sp
Villefranche-d'Albigeois;Z e sp
Villefranche-d'Allier;Z e sp
Villelongue-d'Aude;Z e sp
Villemagne-l'Argentière;Z e sp
Villenave-d'Ornon;Z e sp
Villeneuve-d'Allier;Z e sp
Villeneuve-d'Amont;Z e sp
Villeneuve-d'Ascq;Z e sp
Villeneuve-d'Aval;Z e sp
Villeneuve-d'Entraunes;Z e sp
Villeneuve-d'Olmes;Z e sp
Villeneuve-l'Archevêque;Z e sp
Villers-l'Hôpital;Z e sp
Villette-d'Anthon;Z e sp
Voray-sur-l'Ognon;Z e sp
Wavrans-sur-l'Aa;Z e sp
Wiencourt-l'Équipée;Z e sp
Yvré-l'Évêque;Z e sp
Écotay-l'Olme;Z e sp
Église-Neuve-d'Issac;Z e sp
Égliseneuve-d'Entraigues;Z e sp
Île-d'Aix;Z e sp
Île-d'Arz;Z e sp
Île-d'Houat;Z e sp
L'Énéide;Z e p
Decap'four;N e sp
Pom'Potes;N e sp
Pur'Soup;Z e sp
Pessa'h;Z e s
O'Sullivan;Z e sp
